Word,formal word
ha,hah
ni,nih
kerjain,kerjakan
dikejakan,dikerjakan
tau,tahu
kelaspun,kelas pun
reot,rusak
tak,tidak
tkp,tempat kejadian perkara
mencontreng,memberi tanda centang
and,dan
when,ketika
the,<nan>
seasons,musim
change,berganti
ayah,bapak
ayahnya,bapaknya
ohhh,oh
resign,mengundurkan diri
ayahku,bapakku
hei-,hei
hoho-,hoho
papaku,bapakku
haah,hah
astagfirullohaladziim,astagfirullah
office,pramu
boy,kantor
level,tingkatan
nyesel,nyesal
temenmu,temanmu
game,gim
insurance,asuransi
youtube,nama aplikasi
twitter,nama aplikasi
track,rekam
recordnya,jejaknya
record,jejak
ojk,otoritas jasa keuangan
belaiu,beliau
tkw,tenaga kerja wanita
theeettt,<nan>
theeeettt,<nan>
sura,suara
kukuyah,kukunyah
bedua,berdua
melalu,melalui
ke-delapan,ke delapan
anakmemang,anak memang
bapaktak,bapak tak
dannnnnn,dan
yangkata,yang kata
hanaposesif,hana posesif
nasibbbb,nasib
jomlo,jomblo
hiking,mendaki
chatroom,ruang obrolan
alloh,allah
tw,tahu
keles,<nan>
angle,sudut
cape,capek
fine-fine,baik-baik
down,sedih
shocked,kaget
tiap,setiap
circle,kelompok pertemanan
ngindarin,menghindari
grup-grup,grup
seintens,sesibuk
rekanrekan,rekan-rekan
katakata,kata-kata
shouldve,seharusnya
known,sudah tahu
berwarnawarni,berwarna-warni
enerjik,bersemangat
supel,mudah bergaul
nadanada,nada-nada
180,seratus delapan puluh
lamakelamaan,lama-kelamaan
levelnya,tingkatannya
workaholic,kecanduan kerja
fixed,sudah pasti
mulutmulut,mulut-mulut
luruslurus,lurus-lurus
hem,<nan>
opa-opa,mas-mas
bablas,melewati
arahin,arahkan
oi,<nan>
ibuk,ibu
wa,whatsapp
kautahusiapa,kau tahu siapa
stylish,anggun
call,telpon
kilogram,kg
mamah,ibu
seenggaknya,setidaknya
serrt,<nan>
basabasi,basa-basi
owner,pemilik
interview,wawancara
mennunjukkan,menunjukkan
over,terlalu
thinking,berpikir
khayya,<nan>
alasshola,<nan>
ke10,ke sepuluh
start,awal
emak,ibu
penggunungan,pegunungan
jarijemarinya,jari jemarinya
alamaak,<nan>
nyiur,kelapa
abahmu,bapakmu
emakku,ibuku
prku,tugasku
mak,bu
ratarata,rata-rata
180cm,180 cm
165cm,165 cm
170cm,170 cm
195cm,195 cm
skill,kemampuan
berskill,memiliki kemampuan
skillku,kemampuanku
risk,resiko
macetmacetan,macet-macetan
antre,antri
pundipundi,pundi-pundi
secret,rahasia
via,lewat
simple,simpel
ngab,bro
loc,lokasi
lamaaaa,lama
an,<nan>
surprise-surprise,kejutan-kejutan
degapdegup,degap-degup
wewwwww,<nan>
jempuuuuut,jemput
insecure,tidak percaya diri
mempacking,mengemas
ashiaaaaaaaaap,siap
ketiban,tertimpa
rejeki,rezeki
duit,uang
gel,<nan>
sepelemparan,selemparan
totogelap,toto gelap
mbok,ibu
nyuwun,minta
ngapunten,permisi
ngertos,tahu
nindakake,melakukan
asah,mengasah
asahan,<nan>
teng,di
pawon,dapur
kanak-kanak,anak-anak
0,ribu
lololo,<nan>
ninuninu,<nan>
fix,pasti
maygat,ya tuhan
ya-ya,ya
dek,adik
beritau,beritahu
salahsatu,salah satu
kucel,tidak rapih
dibuli,dirundung
dikanankiri,di kanan kiri
berac,ada ac
sumpek,sesak
menguasasi,menguasai
bayangbayang,bayang-bayang
kepengin,berkeinginan
blunder,kesalahan besar
orangorang,orang-orang
satusatunya,satu-satunya
ks,<nan>
mal,mall
bunda,ibu
sampaisampai,sampai-sampai
bun,bu
telebih,terlebih
berebeda,berbeda
bareng,bersama
moodku,perasaan hatiku
channelmu,saluranmu
2-2,22
bukitbukit,bukit-bukit
dungu,bodoh
papa,bapak
papah,bapak
pah,pak
besokbesok,besok-besok
nggandeng,membawa
he-he,hehe
he,<nan>
edan,gila
now,sekarang
ideide,ide-ide
shift-shift,shift
door,hadiah
prize,kejutan
ndangdut,dangdut
nyuuus,enak
ojeg,ojek
akhirakhir,akhir-akhir
covid19,covid-19
neng,nona
anakanak,anak-anak
lagilagi,lagi-lagi
pakde,paman
bapakku,ayahku
pating,kacau
penthalit,<nan>
sudaaah,sudah
gue,aku
kuatir,khawatir
bayibayi,bayi-bayi
jua,juga
nian,sekali
njebabah,berkembang
ndongkrok,menetap
golekkan,letakkan
kepalasesekali,kepala sesekali
juliwabah,juli wabah
tergolek,terbaring
covid,covid-19
sisinyakepala,sisinya kepala
passion,gairah
harihari,hari-hari
kananya,kanannya
kenyaman,kenyamanan
202-202,<nan>
com,<nan>
harissssss,haris
harisss-harisss,haris-haris
hariss,haris
bapakkkkk,bapak
menggu,menunggu
menggoyang,menggoyang-goyangkan
goyangkannya,<nan>
percikanpercikan,percikan-percikan
security,sekuriti
waalaikumusalam,waalaikumsalam
menenteng,membawa
janganjangan,jangan-jangan
1-1,11
sus,suster
bedrest,beristirahat
jadian,memiliki hubungan
hp-nya,handphonenya
hp,handphone
cowo,laki-laki
cowok,laki-laki
bare,batas
minimum,minimal
105,jam satu lewat lima
yes-yes,ya ya
yes,ya
53-53,53
yaa,ya
haaa-haaa,haha
haaa,<nan>
lu,kamu
roa-,roa
nginjakin,injaki
sawa,sawah
syahrul-,syahrul
asalamualaikum,assalamualaikum
atensinya,perhatiannya
uuhuk,uhuk
338,tiga lewat tiga puluh delapan
ro,roa
tombo,obat
tanki,tangki
di-di,di
traffic,lampu
light,lalu lintas
seribuan,seribu
melet,meletakkan
akkan,<nan>
driver,pengemudi
oooo,oh
seiisi,seisi
ber-asap,berasap
te,bonte
casn,singkatan
mengskrol-skrol,<nan>
dia-dia,dia
asn,singkatan
brended,bermerek
ustaz,ustadz
jarot,djarot
fahami,pahami
bok,abok
seharihari,sehari-hari
action,aksi
300,tiga
merem,menutup mata
bendabenda,benda-benda
anakanaknya,anak-anaknya
gununggunung,gunung-gunung
bongkahanbongkahan,bongkahan-bongkahan
batubatu,batu-batu
syukursyukur,syukur-syukur
my,mypertamina
pertamina,<nan>
mobilmotor,mobil motor
lan,lana
620,enam lewat dua puluh
705,tujuh lewat lima
titt,<nan>
ini-ini,ini
lho,loh
fa,ulfa
tlaga,telaga
mmmm,<nan>
masyaallah,masya allah
hayo,ayo
4012007,<nan>
fan,ifan
menstater,menyalakan
deal-deal,transaksi
training,latihan
1700,lima sore
maron,maroon
geulis,cantik
dheg-dheg,deg-degan
dhegan,<nan>
shock,kaget
ankle,mata kaki
strap,istilah bahasa inggris
dihari,di hari
praaak,<nan>
menjinakkan,menjinakan
tolok,tolak
dapati,dapat
gedean,lebih besar
awa,tawa
berduit,kaya
2000,delapan malam
wooow,<nan>
montok,berisi
studinya,studi
strip,garis
merengut,mengambil
keeratan,keakraban
corona,covid-19
700,tujuh pagi
dikota,di kota
kang,mas
ha-ha,haha
kuekue,kue-kue
spot,tempat
lagulagu,lagu-lagu
cab,cabang
plus,dan
remahremah,remah-remah
batator,batagor
basonya,baksonya
oleholeh,oleh-oleh
temanteman,teman-teman
netijen,netizen
benarbenar,benar-benar
biasabiasa,bisa-bisa
enakenak,enak-enak
10000,10 ribu
15000,15 ribu
nonton,menonton
resto,restoran
tibatiba,tiba-tiba
sistah,teman perempuan
dah,sudah
oleholehnya,oleh-olehnya
cabe,cabai
dilemparlempar,dilempar-lempar
spv,pegawai
mention,menyebutkan
kece,keren
lampulampu,lampu-lampu
eye,menarik
catching,<nan>
smoked,asap
chicken,ayam
cheese,keju
freedom,kebebasan
l,1
yummy,enak
dikit,sedikit
presentase,persentase
ride,pengendara
sharing,membagikan
nekad,nekat
lounge,ruang santai
warungwarung,warung-warung
kecampur,tercampur
kecilkecil,kecil-kecil
__sad__,<nan>
ri,republik indonesia
hang,bermasalah
pake,pakai
apaapa,apa-apa
reasonable,masuk akal
masingmasing,masing-masing
bang,mas
dim,dimsumnya
sumnya,<nan>
yahud,enak
sum,<nan>
saungsaungnya,saung-saungnya
service,servis
walikota,lengkap
courier,kurir
